ITEM,,QUANTITY,PRIZE$,LINK
Arduino UNO,,1,27.6,https://www.walmart.com/ip/Arduino-Uno-Rev-3-Uno-R3-A000066/182664904?classType=REGULAR&from=/search
L298n Motor Driver,,1,7.25,https://www.walmart.com/ip/CREHNIL-L298N-Motor-DC-Dual-H-Bridge-Motor-Driver-Controller-Board-Module-Stepper-for-Arduino-Intelligent-Car-Power-UNO-MEGA-R3-Mega2560/18853071095?classType=REGULAR&from=/search
Breadboard Small,,1,10.99,https://www.walmart.com/ip/Treedix-Solderless-Breadboard-Small-400-Tie-Point-PCB-BreadBoard-Compatible-with-Arduino-Proto-Shield-Distribution-Connecting-Blocks/2752924271?classType=REGULAR&from=/search
Hobby gear Motors,,2,22,https://www.walmart.com/ip/CHANCS-DC-Motor-Gear-Hobby-Motor-Single-Shaft-Motor-3V-6V-1-200-with-Plastic-Toy-Car-Tire-Wheel-Model-Gear-Parts/14737119362
Caster Wheel,,1,3.96,https://www.walmart.com/ip/Super-Sliders-1-5-Soft-Rubber-Swivel/15685673475?classType=REGULAR&athbdg=L1600&from=/search
IR Receiver & Remote,,1,8.95,https://www.walmart.com/ip/Mini-Slim-IR-Remote-Receiver-Module-17-Function-Keys-for-Robotics-and-Interactive-Works-Controller-Spare-Part/8192713647?classType=REGULAR&from=/search
Wheels,,2,https://www.walmart.com/ip/CHANCS-DC-Motor-Gear-Hobby-Motor-Single-Shaft-Motor-3V-6V-1-200-with-Plastic-Toy-Car-Tire-Wheel-Model-Gear-Parts/14723273530
Chasis,,1,https://www.walmart.com/ip/2-Wheel-RC-Car-Chassis-Aluminum-Alloy-with/1766185175?classType=REGULAR&from=/search
Jumper Wires,,----,6.99,https://www.walmart.com/ip/10-Piece-Set-of-6-Male-to-Male-Jumper-Wires-5-Colors/358171840?classType=REGULAR&from=/search
Batteries 18650,,2,14.99,https://www.walmart.com/ip/2-Pack-3-7V-1-8-6-5-0-Rechargeable-Battery-Button-Top-9900mAh-High-Capacity-for-Flashlights-Headlamps-Doorbells-etc/20826807592?classType=REGULAR&from=/search
